townname,state_id
Aurora ,6
Colorado ,6
Springs ,6
Denver ,6
Fort ,6
Collins ,6
Grand ,6
Junction ,6
Greeley ,6
Highlands ,6
Ranch ,6
Lakewood ,6
Littleton ,6
Longmont ,6
Pueblo ,6
