townname,state_id
North Las Vegas ,28
Reno ,28
Bedford ,29
Concord ,29
Derry ,29
Dover ,29
Exeter ,29
Manchester ,29
Nashua ,29
Portsmouth ,29
Rochester ,29
Salem ,29
Albuquerque ,30
Las Cruces ,30
Los Alamos ,30
Santa Fe ,30
Apex ,33
Asheboro ,33
Asheville ,33
Burlington ,33
Cary ,33
Chapel Hill ,33
Charlotte ,33
Concord ,33
Durham ,33
Elkin ,33
Fayetteville ,33
Gastonia ,33
Goldsboro ,33
Greensboro ,33
Greenville ,33
Henderson ,33
Hickory ,33
High Point ,33
Huntersville ,33
Jacksonville ,33
Kernersville ,33
Kinston ,33
Matthews ,33
Mooresville ,33
Morehead City ,33
Mount Airy ,33
Raleigh ,33
Salisbury ,33
Shelby ,33
Smithfield ,33
Statesville ,33
Wake Forest ,33
Wilmington ,33
Wilson ,33
Winston Salem ,33
Broken Arrow ,36
Edmond ,36
Enid ,36
Lawton ,36
Midwest City ,36
Muskogee ,36
Norman ,36
Oklahoma City ,36
Owasso ,36
Pryor ,36
Stillwater ,36
Tulsa ,36
Yukon ,36
Grants Pass ,37
Klamath Falls ,37
Portland ,37
Roseburg ,37
Salem ,37
West Linn ,37
Aiken ,40
Bluffton ,40
Charleston ,40
Columbia ,40
Conway ,40
Florence ,40
Greenville ,40
Greenwood ,40
Hilton Head Island ,40
Irmo ,40
Mount Pleasant ,40
Murrells Inlet ,40
North Charleston ,40
Orangeburg ,40
Port Royal ,40
Rock Hill ,40
Spartanburg ,40
Summerville ,40
Sumter ,40
West Columbia ,40
Rapid City, 41
Bartlett ,42
Bristol ,42
Chattanooga ,42
Clarksville ,42
Elizabethton ,42
Franklin ,42
Germantown ,42
Johnson City ,42
Knoxville ,42
Lebanon ,42
Lenoir City ,42
Memphis ,42
Nashville ,42
Tullahoma ,42
Bountiful ,44
Draper ,44
Holladay ,44
Murray ,44
Ogden ,44
Pleasant Grove ,44
Saint George ,44
Salt Lake City ,44
Tooele ,44
West Valley City ,44
Alexandria ,46
Arlington ,46
Charlottesville ,46
Chesapeake ,46
Colonial Heights ,46
Danville ,46
Fairfax ,46
Fredericksburg ,46
Gainesville ,46
Hampton ,46
Harrisonburg ,46
Herndon ,46
Hopewell ,46
Leesburg ,46
Lynchburg ,46
Manassas ,46
Mechanicsville ,46
Newport News ,46
Norfolk ,46
Petersburg ,46
Portsmouth ,46
Richmond ,46
Springfield ,46
Sterling ,46
Tappahannock ,46
Virginia Beach ,46
Warrenton ,46
Winchester ,46
Woodbridge ,46
Auburn ,47
Bellevue ,47
Bremerton ,47
Issaquah ,47
Kirkland ,47
Mount Vernon ,47
Oak Harbor ,47
Olympia ,47
Port Orchard ,47
Puyallup ,47
Renton ,47
Seattle ,47
Silverdale ,47
Spokane ,47
Tacoma ,47
Vancouver ,47
Beckley ,49
Bridgeport ,49
Charleston ,49
Cross Lanes ,49
Fairmont ,49
Huntington ,49
Morgantown ,49
South Charleston ,49
Brookfield ,50
Franklin ,50
Green Bay ,50
Greenfield ,50
Kenosha ,50
Mequon ,50
Milwaukee ,50
New Berlin ,50
Racine ,50
Wauwatosa ,50
West Allis ,50
Casper ,51
